"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt10133300","Rakshasudu",2019,3,8,6,"2019-08-02",122,"India","$ 4602","Telugu","A Studios","Friday","weekday","August","Long","nm4195915","Ramesh Varma",0,"","Crime",8.4,613,9
"tt10133300","Rakshasudu",2019,3,8,6,"2019-08-02",122,"India","$ 4602","Telugu","A Studios","Friday","weekday","August","Long","nm4195915","Ramesh Varma",0,"","Thriller",8.4,613,9
"tt10156112","Hello, Love, Goodbye",2019,3,7,4,"2019-07-31",118,"Philippines","$ 1089515","Chinese, Tagalog, Filipino","Star Cinema","Wednesday","weekday","July","Standard","nm1283069","Cathy Garcia-Molina",0,"","Drama",7.6,516,9
"tt10156112","Hello, Love, Goodbye",2019,3,7,4,"2019-07-31",118,"Philippines","$ 1089515","Chinese, Tagalog, Filipino","Star Cinema","Wednesday","weekday","July","Standard","nm1283069","Cathy Garcia-Molina",0,"","Romance",7.6,516,9
"tt10183616","Yves",2019,2,6,4,"2019-06-26",107,"France","$ 375950","French","Ecce Films","Wednesday","weekday","June","Standard","nm2254779","Benoît Forgeard",0,"","Comedy",5.7,226,6
"tt10195210","Yin he bu xi ban",2019,3,7,5,"2019-07-18",147,"China","$ 122994583","Mandarin","Tianjin Chengzi Yingxiang Media","Thursday","weekday","July","Long","nm6576432","Baimei Yu",0,"","Drama",6.2,207,7
"tt10199586","Atlantique",2019,4,10,4,"2019-10-02",104,"France, Senegal, Belgium","$ 344938","Wolof, French, English","Cinekap","Wednesday","weekday","October","Standard","nm2841936","Mati Diop",0,"1982-06-22","Drama",7.1,577,7
"tt10199590","Les misérables",2019,4,11,4,"2019-11-20",102,"France","","French","Srab Films","Wednesday","weekday","November","Standard","nm1868177","Ladj Ly",0,"1905-05-31","Crime",7.5,970,8
"tt10199590","Les misérables",2019,4,11,4,"2019-11-20",102,"France","","French","Srab Films","Wednesday","weekday","November","Standard","nm1868177","Ladj Ly",0,"1905-05-31","Drama",7.5,970,8
"tt10199670","Liberté",2019,3,9,4,"2019-09-04",132,"France, Portugal, Spain","$ 39435","French, German, Italian","Idéale Audience","Wednesday","weekday","September","Long","nm2247200","Albert Serra",0,"1905-05-28","Drama",4.7,228,4
"tt10208198","The Gangster, the Cop, the Devil",2019,2,5,4,"2019-05-15",109,"South Korea, USA","$ 26104804","Korean, English","B&C Group","Wednesday","weekday","May","Standard","nm8694244","Won-Tae Lee",0,"","Action",6.9,2631,7
"tt10208198","The Gangster, the Cop, the Devil",2019,2,5,4,"2019-05-15",109,"South Korea, USA","$ 26104804","Korean, English","B&C Group","Wednesday","weekday","May","Standard","nm8694244","Won-Tae Lee",0,"","Crime",6.9,2631,7
"tt10208198","The Gangster, the Cop, the Devil",2019,2,5,4,"2019-05-15",109,"South Korea, USA","$ 26104804","Korean, English","B&C Group","Wednesday","weekday","May","Standard","nm8694244","Won-Tae Lee",0,"","Drama",6.9,2631,7
"tt10214842","Milliard",2019,2,4,5,"2019-04-18",101,"Russia","$ 6472620","Russian","","Thursday","weekday","April","Standard","nm1213790","Roman Prygunov",0,"1969-05-26","Comedy",2.7,503,1
"tt10214842","Milliard",2019,2,4,5,"2019-04-18",101,"Russia","$ 6472620","Russian","","Thursday","weekday","April","Standard","nm1213790","Roman Prygunov",0,"1969-05-26","Crime",2.7,503,1
"tt10214842","Milliard",2019,2,4,5,"2019-04-18",101,"Russia","$ 6472620","Russian","","Thursday","weekday","April","Standard","nm1213790","Roman Prygunov",0,"1969-05-26","Thriller",2.7,503,1
"tt10218674","Lie huo ying xiong",2019,3,8,6,"2019-08-02",118,"China","$ 238004304","Mandarin","Bona Film Group","Friday","weekday","August","Standard","nm0151135","Tony Chan",0,"","Action",5.4,250,6
"tt10218674","Lie huo ying xiong",2019,3,8,6,"2019-08-02",118,"China","$ 238004304","Mandarin","Bona Film Group","Friday","weekday","August","Standard","nm0151135","Tony Chan",0,"","Drama",5.4,250,6
"tt10228204","Perdrix",2019,3,8,4,"2019-08-14",99,"France","$ 1086757","French","Domino Films","Wednesday","weekday","August","Standard","nm4870005","Erwan Le Duc",0,"","Drama",6.8,183,7
"tt10237612","Inseparable Bros",2019,2,5,4,"2019-05-01",114,"South Korea","$ 10682665","Korean","","Wednesday","weekday","May","Standard","nm0948596","Sang-Hyo Yook",0,"","Comedy",7.1,163,8
"tt10237612","Inseparable Bros",2019,2,5,4,"2019-05-01",114,"South Korea","$ 10682665","Korean","","Wednesday","weekday","May","Standard","nm0948596","Sang-Hyo Yook",0,"","Drama",7.1,163,8
"tt1024855","Gunned Down",2017,3,7,2,"2017-07-17",95,"UK","$ 47737","English","Impact Entertainment","Monday","weekday","July","Standard","nm1654324","Mark McQueen",0,"1980-05-29","Action",5.1,791,5
